year,PSU,CMU,KKU,MU,CU,KU
2544,115,188,136,544,448,85
2545,142,264,147,645,567,102
2546,175,302,170,703,652,154
2547,180,372,208,787,862,179
2548,271,496,262,1035,978,253
2549,422,573,372,1112,1241,413
2550,528,653,400,1202,1184,412
2551,592,751,458,1286,1436,463
2552,506,792,497,1463,1494,512
2553,572,868,538,1581,1673,671
2554,680,952,637,1720,1726,796
2555,757,1072,943,1917,1819,790
2556,839,1054,942,1905,1933,870
2557,976,1199,1109,2064,2079,935
2558,830,1271,1058,2070,2023,862
2559,890,1485,1159,2441,2296,902
2560,1073,1610,1271,2709,2422,1061
2561,1183,1967,1504,2961,2696,1111
2562,1323,1926,1506,3053,3012,1256
2563,1541,2209,1625,3623,3379,1292
2564,142,214,140,277,309,104
